input,output,use
how do founders' backgrounds influence their entrepreneurial journeys,"And so, we all chase a definition of success that can only be measured by how much faster we were moving than our peers. Every step we take, every hour of work we put in, feels like an urgent acceleration towards… something. Fueled by our time and other people’s money, we race one another to the horizon.I have no idea if any of this mattered to Steph Korey. But there are a lot of parallels between her career and my own, and I know that they mattered to me . We both graduated from college the same year. We both worked at NGOs before moving to corporate jobs. Both of us started companies—Korey started Away and I started Mode, which built software for data analysts—in our mid- to late twenties.Moreover, both of us were opportunistic founders. According to one profile of Korey , she didn’t start Away because of any particular passion for luggage; she started it because her friend’s carry-on split open on an international flight. Despite initially being unsure if she wanted to start a business, Korey’s reluctance turned into cheeky ambition. “We weren’t interested in starting a small business,” she told Forbes , “we wanted to truly improve how people travel on a meaningful scale.”",0
what motivates founders to start their companies,"Moreover, both of us were opportunistic founders. According to one profile of Korey , she didn’t start Away because of any particular passion for luggage; she started it because her friend’s carry-on split open on an international flight. Despite initially being unsure if she wanted to start a business, Korey’s reluctance turned into cheeky ambition. “We weren’t interested in starting a small business,” she told Forbes , “we wanted to truly improve how people travel on a meaningful scale.”Similarly, prior to starting Mode, I had no interest in business intelligence software. I started it because two of my coworkers at Yammer built a popular internal tool , and they inexplicably offered me a seat at their founding table. But once in it, I was in it—trying to reinvent dashboards; writing countless blog posts about dashboards; being called, by the cruelest person on LinkedIn, a leader in the dashboarding space . 9In other words, Korey and I both stumbled into our respective businesses. Neither of us were building something that the world especially needed. And like so many founders and company leaders who get swept up in feverish ambitions and pace of startup life, we didn’t create businesses to manufacture products for customers; not really . We created them to manufacture accomplishment for ourselves. We just wanted to succeed; to win; to outclimb our peers.",1
why do founders start companies,"In other words, Korey and I both stumbled into our respective businesses. Neither of us were building something that the world especially needed. And like so many founders and company leaders who get swept up in feverish ambitions and pace of startup life, we didn’t create businesses to manufacture products for customers; not really . We created them to manufacture accomplishment for ourselves. We just wanted to succeed; to win; to outclimb our peers.In tech, that’s not an ignoble cause. Sequoia Capital, a premier venture firm, believes that all of their investments should “have a desperate need to win.” In the wake of Kobe Bryant’s death, Marc Andreessen marked the occasion by reminding people that one of Kobe’s most admirable characteristics was his atomic obsession with winning. Others have explicitly drawn parallels between Kobe and successful founders for the same reason.I get why VCs say this stuff. It’s visceral; it’s provocative; it gets the people going. As a lifelong amateur athlete, my YouTube history is littered with Tiger fist pumps , kick-sixes , buzzer beaters and double bangs , 10 bat flips , home run mics , Nike and Under Armour ads, and Minneapolis Miracle remixes . Without a court to compete on, startups became our arena. And we become as monomaniacal about winning our game as athletes and coaches are about winning theirs.",1
why do people become entrepreneurs,"I get why VCs say this stuff. It’s visceral; it’s provocative; it gets the people going. As a lifelong amateur athlete, my YouTube history is littered with Tiger fist pumps , kick-sixes , buzzer beaters and double bangs , 10 bat flips , home run mics , Nike and Under Armour ads, and Minneapolis Miracle remixes . Without a court to compete on, startups became our arena. And we become as monomaniacal about winning our game as athletes and coaches are about winning theirs.There is nothing inherently wrong with that. People need competition; they need meaning; we cannot just gaze into the abyss of our fleeting existence on a lonely mote of dust floating through an eternal void. We all have religions because we all need religions. If someone finds purpose in building Instagramable totes, that is no more or less cosmically relevant than anything else. And on a more planetary scale, it’s probably not a bad thing for some people to be entrepreneurs for the love of the game —or even, just for the trophies . Suitcases may not be metaphysically material, but a nice one does make flying a little less of a headache . 11Instead, what I think is important to recognize about our motivations is not that they are bad; it is that they are circumstantial . Thousands of people in Silicon Valley meander into their ambitions, via pivots , via pranks , or—as seemed to happen for me and Korey—via professional serendipity. But just as we can wander into our life’s calling, we can wander out.",0
how do career paths in Silicon Valley evolve,"Instead, what I think is important to recognize about our motivations is not that they are bad; it is that they are circumstantial . Thousands of people in Silicon Valley meander into their ambitions, via pivots , via pranks , or—as seemed to happen for me and Korey—via professional serendipity. But just as we can wander into our life’s calling, we can wander out.There is one more parallel between my career and Steph Korey’s: We both got fired from our startups. ThoughtSpot, which acquired Mode almost exactly a year ago, let me go two months ago.So it goes; such is the circle of life in Silicon Valley. If you don’t like that deal, don’t work here. Still, the moment was striking to me, not in what it was, but in what it was not. For years, you don’t just work somewhere; you are consumed by it. The things that matter to you are the things that matter to it. For better or for worse, it puts blinders on your ambitions: You obsess over success in your field, and wonder why people in other fields stress about the trivial status games in theirs. 12",0
how does leaving a job in Silicon Valley feel,"So it goes; such is the circle of life in Silicon Valley. If you don’t like that deal, don’t work here. Still, the moment was striking to me, not in what it was, but in what it was not. For years, you don’t just work somewhere; you are consumed by it. The things that matter to you are the things that matter to it. For better or for worse, it puts blinders on your ambitions: You obsess over success in your field, and wonder why people in other fields stress about the trivial status games in theirs. 12And then…you don’t. Your calendar is cleared; your to-do list is zeroed; your problems are suddenly someone else's responsibility. You're pulled from the water that you long ago forgot was water, and dropped directly onto the land.Standing on the shore, your old pond—the pond where you did your life's work, in which nothing seemed more important than being a big fish—suddenly looks like all the other ponds you used to care so little about. It looks distant ; foreign; trivial. From that vantage point, you don't mourn leaving it; you mourn having spent so much time there.",1
how do our ambitions change over time,"Standing on the shore, your old pond—the pond where you did your life's work, in which nothing seemed more important than being a big fish—suddenly looks like all the other ponds you used to care so little about. It looks distant ; foreign; trivial. From that vantage point, you don't mourn leaving it; you mourn having spent so much time there.That doesn't mean it didn’t matter. It simply means that our ambitions are defined by our environment. On short time scales, this is obvious; in the moments that we desperately crave tacos , or a quiet moment to ourselves, or a cold shower, we know that we won’t want them forever. In a couple hours, we’ll be full and repulsed by food ; in a couple days, we'll want to pop out with some friends ; in a couple months, we’ll want a hot shower and cozy blanket.The same is true over longer time scales; it’s just harder to see. When you’ve been on a ten-year trek looking for a taco, you forget that you might one day want something else.",1
how do our surroundings influence our ambitions and interests,"The same is true over longer time scales; it’s just harder to see. When you’ve been on a ten-year trek looking for a taco, you forget that you might one day want something else.This has a corollary that is even harder to see, and harder still to act on. You can manufacture ambition . Being a suitcase executive, building data software, chasing status in Silicon Valley—these are not innate in us. We care about these things because we submerged ourselves in them, became acclimated to it, and forgot that it was water.But there are other ponds that we could lose ourselves in. If you start going to pottery classes, suddenly pottery will be your thing. If you become a barista, a guy on YouTube might become your idol. If you work in sports media, you’ll find yourself caring about this gossip and not that gossip . We think that we surround ourselves with our interests, but causality often runs the other way: We become interested in what we’re surrounded by.",1
how does our environment shape our interests and ambitions,"But there are other ponds that we could lose ourselves in. If you start going to pottery classes, suddenly pottery will be your thing. If you become a barista, a guy on YouTube might become your idol. If you work in sports media, you’ll find yourself caring about this gossip and not that gossip . We think that we surround ourselves with our interests, but causality often runs the other way: We become interested in what we’re surrounded by.We can choose that context—it just takes a leap of faith. As long as your environment stays the same, so will your ambitions. You’ll value the same things as you did yesterday, care about the opinions of the same people, and chase the same trophies. If you change this context, these things will change too. But that’s the uncomfortable order it has to happen: You won’t want something new until you walk away from the thing you currently want.That’s the real trap of Silicon Valley, and of other prestige industries. For aimless high-achievers—for people whose only honest answer to the question of “what do you want to be when you grow up?” is “successful”—they offer a default scale. And then, its scale becomes our scale. Though we start out working there despite the job being about shifting paradigms across scalable B2B SaaS, we eventually work there because the job is about shifting paradigms across scalable B2B SaaS. That’s the real punchline to this joke : If you work in tech long enough, this might actually become what you love.",1
how do people find true ambition in their careers,"That’s the real trap of Silicon Valley, and of other prestige industries. For aimless high-achievers—for people whose only honest answer to the question of “what do you want to be when you grow up?” is “successful”—they offer a default scale. And then, its scale becomes our scale. Though we start out working there despite the job being about shifting paradigms across scalable B2B SaaS, we eventually work there because the job is about shifting paradigms across scalable B2B SaaS. That’s the real punchline to this joke : If you work in tech long enough, this might actually become what you love.And maybe that’s ok. But at a minimum, we shouldn’t find our ambitions by accident .  If we imagine that we’re no longer in our current pond—that we got fired, or are 16 years old and dreaming about what we to do with our life, or 80 years old and reflecting on what we did—what would we care about then? Are the ladders we spent our time climbing the ladders that we really want to stand at the top of?Whatever we imagine that existential ambition will be then, we we can make it our day-to-day ambition now, but not without sacrificing our current idols. Because there will be a moment when all have to ask ourselves if we got what we wanted from this life , and the greatest trick the devil ever pulled was convincing us he'd come for us after we die, and not when we're still living .",0
what does it mean to have existential ambition,"Whatever we imagine that existential ambition will be then, we we can make it our day-to-day ambition now, but not without sacrificing our current idols. Because there will be a moment when all have to ask ourselves if we got what we wanted from this life , and the greatest trick the devil ever pulled was convincing us he'd come for us after we die, and not when we're still living .All of her tweets, including her apology, have since been deleted.Away initially said that the change had been in the works for months. This was later reported to be partially true. Haselden had been planning on joining before The Verge story, but as COO, not CEO.",0
why do we idolize demanding leaders in the tech industry,"Away initially said that the change had been in the works for months. This was later reported to be partially true. Haselden had been planning on joining before The Verge story, but as COO, not CEO.Nine months later, in October of 2020, Korey stepped down again .On one hand, the tech industry definitely idolizes men—Steve Jobs, Bill Gates, Jeff Bezos, Larry Ellison, Andy Grove, Travis Kalanick, many more—when they are notoriously demanding. On the other hand, maybe we shouldn’t? To assume that they were great because they were jerks is like assuming John McEnroe was great because he threw tantrums. I get that greatness can often be prickly, and you can’t throw out the outbursts without potentially losing the passion. But we don’t need to celebrate or mimic that behavior; we can aspire to be more decent. For every Steve Jobs, there are thousands of us with less talent whose tempers don’t make us great leaders; they just make us cruel.",0
why do people idolize demanding tech leaders,"On one hand, the tech industry definitely idolizes men—Steve Jobs, Bill Gates, Jeff Bezos, Larry Ellison, Andy Grove, Travis Kalanick, many more—when they are notoriously demanding. On the other hand, maybe we shouldn’t? To assume that they were great because they were jerks is like assuming John McEnroe was great because he threw tantrums. I get that greatness can often be prickly, and you can’t throw out the outbursts without potentially losing the passion. But we don’t need to celebrate or mimic that behavior; we can aspire to be more decent. For every Steve Jobs, there are thousands of us with less talent whose tempers don’t make us great leaders; they just make us cruel.Away is neither a tech company nor located in Silicon Valley . However, the Silicon Valley metonym has grown to include venture-backed startups in other major U.S. cities like New York, Boston, Austin, and, for a minute , Miami. Silicon Valley isn’t a place; it’s a mentality .On “work-life balance,” some people take jobs to get rich, because they’re compulsively ambitious, and because they’re hypnotized by the thrill of explosive growth. Some people take jobs to work on interesting problems, to work with supportive teams, and simply to make enough money to have lives outside of their offices.",0
"What are the different motivations people have for taking jobs, and how do companies balance work-life balance with growth ambitions?","On “work-life balance,” some people take jobs to get rich, because they’re compulsively ambitious, and because they’re hypnotized by the thrill of explosive growth. Some people take jobs to work on interesting problems, to work with supportive teams, and simply to make enough money to have lives outside of their offices.A lot of startups try to have it both ways. They try to offer rides on a rocketship while also putting people and culture first. And when the two are at odds, they gaslight employees by camouflaging oppressive hours as “wild and exciting and unexpected and beautiful.” Other industries like finance are at least direct about what they offer: They pay you a lot of money to steamroll you with work. It may be abusive, but it’s transparent.That’s why I think startups should be more explicit about how they make these tradeoffs. It’s fine to chase growth at all costs, to build a company and culture that prioritizes the lifestyle of its employees first, or to do something in the middle. But everyone needs to know which temple they’re in.",0
how should startups define success,"That’s why I think startups should be more explicit about how they make these tradeoffs. It’s fine to chase growth at all costs, to build a company and culture that prioritizes the lifestyle of its employees first, or to do something in the middle. But everyone needs to know which temple they’re in.Also—a lot of people seem to see this as a choice between winning and gently losing. But this misses the point. We don’t have to define winning around money or market dominance. We can also define it through how much we enjoy the responsibilities that fill our days, or how we support the lives of those we employ. We can still be competitive; we can still have a desperate need to win; we can still refuse to process failure . We just have to be independently-minded enough to not let others define what winning and losing means.Similarly, VCs’ livelihoods—or at least their statuses, their Twitter audiences, their invites to the All-In Summit, and their futures as authors of pop management books with glowing introductions from authors of other pop management books—depend on their portfolios surviving.",0
how do venture capitalists measure their success,"Similarly, VCs’ livelihoods—or at least their statuses, their Twitter audiences, their invites to the All-In Summit, and their futures as authors of pop management books with glowing introductions from authors of other pop management books—depend on their portfolios surviving.Later that year, Microsoft “retired” us all by buying Yammer. We scoffed at their offices, their stale software products, and their bureaucratic performance management practices. We quit, sold our Microsoft shares, and started companies that would build things, and not just tell stories about the glory days .Most of those companies are out of business. Microsoft’s shares are up 1,500 percent, and it is now the most valuable company in the world. Ah well.",0
how has the tech industry landscape changed over the past decade?,"Most of those companies are out of business. Microsoft’s shares are up 1,500 percent, and it is now the most valuable company in the world. Ah well.I mean, oh man, does a message like this make you question your life choices.It’s funny now, because they’re the same team .",0
how does ambition impact teamwork and leadership,"It’s funny now, because they’re the same team .That said, this can also cause problems. In 1838, Abraham Lincoln said this about ambition :It sees no distinction in adding story to story, upon the monuments of fame, erected to the memory of others. It denies that it is glory enough to serve under any chief. It scorns to tread in the footsteps of any predecessor, however illustrious.",0
why do people seek fame and recognition,"It sees no distinction in adding story to story, upon the monuments of fame, erected to the memory of others. It denies that it is glory enough to serve under any chief. It scorns to tread in the footsteps of any predecessor, however illustrious.No doubt, society benefits from some degree of gamified entrepreneurship. But there can be a point at which that goes too far, and rather than working together, every great creator wants their own solo career.For example, there are legions of Zoomers who are obsessed with their social standing on Instagram and TikTok. Do you care about what these people think? Does their game matter ? If that totem pole isn’t important, isn’t it possible to imagine that one day yours may not be either?",0
why do SaaS companies prefer long-term contracts over short-term ones,"I sometimes wonder if companies that buy software would be better off signing ten-year contracts rather than one-year contracts.Typically, it’s buyers who want to sign short-term deals and sellers who want long-term ones. Go to almost any pricing page for a modern SaaS company, and you'll see two prices : 1 A big, bold one, which you'll pay if you're billed annually, and a small, higher one, which you'll pay if you're billed monthly. 2 And if you talk to any software vendor about signing an annual contract, they'll probably give a third option for a multi-year deal, which will have the lowest price of the three.The logic behind this sort of discounting is straightforward. For SaaS vendors, cash commitments are king. The entire business model is built around customers staying customers for a while and, to a lesser degree, up-front payments . Long-term deals offer both of these things. 3 Moreover, in some sense, annual contracts are less work to maintain than monthly ones. If a company knows that a customer will be a customer for the next year, they don’t have to renew that customer’s business every month. For all these reasons, getting 10,000 dollars today is better than probably getting 1,000 dollars a month for the next 12 months, and SaaS companies often offer people that deal.",1
why do SaaS companies prefer long-term contracts over short-term ones,"The logic behind this sort of discounting is straightforward. For SaaS vendors, cash commitments are king. The entire business model is built around customers staying customers for a while and, to a lesser degree, up-front payments . Long-term deals offer both of these things. 3 Moreover, in some sense, annual contracts are less work to maintain than monthly ones. If a company knows that a customer will be a customer for the next year, they don’t have to renew that customer’s business every month. For all these reasons, getting 10,000 dollars today is better than probably getting 1,000 dollars a month for the next 12 months, and SaaS companies often offer people that deal.They also offer the deal because buyers prefer short-term contracts. Buyers don’t want commitment; they want flexibility. What if they discover some hidden flaw in the product they bought? What if something about their business changes, and they no longer want to use it? What if a competitor launches a shiny new thing that they really like ? If they’re on a month-to-month contract, they can simply walk away. But if they’re on a long-term contract, they can’t. They can’t credibly demand that the vendor fix whatever thing they don’t like, “or else.” They can stop using the product, but they can’t stop paying for it . They’re locked in.And so, people say , when possible, avoid it . Avoid long-term contracts. Month-to-month is better than an annual commitment; annual is better than multi-year; literally anything is better than ten years.",0
why is the data industry overly focused on tooling instead of solving core problems?,"And so, people say , when possible, avoid it . Avoid long-term contracts. Month-to-month is better than an annual commitment; annual is better than multi-year; literally anything is better than ten years.—But is it? One of the common complaints that data people have about the state of the data industry today is that it’s too focused on tooling. We speculate on the implications of Snowflake’s launches and Databricks’ acquisitions ; we waste time trying to define the endless flavors of business intelligence ; we talk about Modern Data Stack this and AI that. As the memes say , this is all a fun distraction from what we actually need to do: Fix people and process problems. Teams don’t need to optimize the handles on their hammers or the nuances of their nails; they need to become better carpenters. The magic we’re looking for is in the work we’re avoiding.",0
why is the data industry overly focused on tooling instead of skills and processes,"But is it? One of the common complaints that data people have about the state of the data industry today is that it’s too focused on tooling. We speculate on the implications of Snowflake’s launches and Databricks’ acquisitions ; we waste time trying to define the endless flavors of business intelligence ; we talk about Modern Data Stack this and AI that. As the memes say , this is all a fun distraction from what we actually need to do: Fix people and process problems. Teams don’t need to optimize the handles on their hammers or the nuances of their nails; they need to become better carpenters. The magic we’re looking for is in the work we’re avoiding.I'm not totally sold by this argument in the aggregate ; we won’t all collectively become better craftspeople unless someone invents better hammers and nails. For individuals, though, tooling probably is a much lower order bit than skill, and talking about tooling is a form of technological bikeshedding . It's a science project; a hobby; an indulgence; an escape from the hard and often unpleasant work of dealing with people and corporate politics .So, to summarize, there are two pieces of learned wisdom about technology and skills:",0
what are some key lessons to keep in mind when choosing technology tools for your business?,"So, to summarize, there are two pieces of learned wisdom about technology and skills:Don't get locked in to one vendor or tool, because you might want to use a different one later.Don’t worry too much about tools, because they aren’t the real solutions to your problems.",0
