input,output
Why is it challenging for companies to switch database providers?,"The second risk actually seems backwards. Like Deming suggests, loyal long-term customers have more influence over their suppliers than fickle ones. Google may not need to win Snapchat’s business every year anymore, but Google really needs to win it every five years. As anyone who’s ever sold software before will tell you, it’s not the aggressive negotiators that keep you awake at night; it’s long-term customers who are gradually getting unhappy. Those are the accounts you can’t afford to lose, and the ones you bend over backwards to serve.—One piece of software that companies usually commit to for a while is their database. They may not sign long-term contracts, but databases often become so integrated with other systems that they're impractical to change. To replace BigQuery with Databricks, you have to move all of your data; you have to rewrite thousands of SQL queries written in a BigQuery accent into queries written in a Databricks accent; you have to update all the things that talk to Google’s APIs to now talk to Databricks’ APIs. It’s a pain, and people really try to avoid doing it."
how are companies dealing with database lock-in,"One piece of software that companies usually commit to for a while is their database. They may not sign long-term contracts, but databases often become so integrated with other systems that they're impractical to change. To replace BigQuery with Databricks, you have to move all of your data; you have to rewrite thousands of SQL queries written in a BigQuery accent into queries written in a Databricks accent; you have to update all the things that talk to Google’s APIs to now talk to Databricks’ APIs. It’s a pain, and people really try to avoid doing it.That might be changing? Over the last couple weeks, Databricks and Snowflake announced new commitments to Iceberg , 6 which could make it easier to swap one database with another : 7If you eliminate data lock-in and allow workloads to “travel” between platforms based on cost / performance characteristics, you create a more efficient market for workloads. This allows competition to naturally push prices down over time."
what are the pros and cons of eliminating data lock-in,"If you eliminate data lock-in and allow workloads to “travel” between platforms based on cost / performance characteristics, you create a more efficient market for workloads. This allows competition to naturally push prices down over time.Architecturally, seems great! The parts are more modular. Economically, also great! Lower prices; cheaper migrations. Wonderful. 8Practically, I’m not so sure. More optionality means more suppliers, more wandering eyes, and less stability. Optimizing compute engines and shuffling between databases could be a revolutionary innovation that shifts paradigms by creating seamless integrations across scalable B2B SaaS products —or it could just become another bike shed for us to think about."
what are the challenges and pitfalls of a modular approach in the modern data stack?,"Practically, I’m not so sure. More optionality means more suppliers, more wandering eyes, and less stability. Optimizing compute engines and shuffling between databases could be a revolutionary innovation that shifts paradigms by creating seamless integrations across scalable B2B SaaS products —or it could just become another bike shed for us to think about.A few months ago, I said that the biggest failing of the modern data stack was its ambition to be modular . The theory sounds nice—a bunch of specialized Lego pieces, assembled together to meet exact needs of every customer, working in tightly integrated harmony around standard protocols and languages—but the reality is it’s too many options :The economics never worked and the experience was dysfunctional . Worse still, the belief in modularity helped inflate the bubble, by convincing people—and VCs—that there was space in the market for every specialized wedge."
why is modularity in technology both a blessing and a curse?,"The economics never worked and the experience was dysfunctional . Worse still, the belief in modularity helped inflate the bubble, by convincing people—and VCs—that there was space in the market for every specialized wedge.Maybe we get this one right, and mix-and-match compute engines don’t suffer from these same problems. But the modern data stack shows that optionality creates plenty of problems too: Indecision, second-guessing, and lots of lower order bits to fiddle with. Sometimes, we might be better off just picking one thing and sticking with it .This used to be one of my favorite interview questions:"
"Imagine you are a marketing executive at a major brand like Starbucks. An executive from a popular TV show approaches you with a unique offer: for a certain amount of money, they will place a Starbucks cup in a scene of their highly anticipated final season, ensuring it will be seen by millions and likely go viral. How much would you be willing to pay for this product placement, and what factors would you consider in making your decision?","This used to be one of my favorite interview questions:Imagine that you work for Starbucks. A few weeks into the final season of Game of Thrones, an HBO executive comes to you with an offer.“Look”, they say, “the show has gone to hell . 9 We’ve decided to throw all artistic integrity out the window, and to milk it for as much money as we can. So we’re here to offer you a deal. If you pay us enough money, we’ll leave a Starbucks cup in a shot in one of the final episodes. Ten million people will see it. It will go viral. It will become a meme. Everyone will be talking about Starbucks. Imagine the promotional possibilities. Starkbucks. The winter menu is coming. I don’t know, we obviously can’t write anymore, you’ll think of something good. Anyway. How much are you be willing to pay us to do this?”"
how does product placement work in TV shows and movies,"“Look”, they say, “the show has gone to hell . 9 We’ve decided to throw all artistic integrity out the window, and to milk it for as much money as we can. So we’re here to offer you a deal. If you pay us enough money, we’ll leave a Starbucks cup in a shot in one of the final episodes. Ten million people will see it. It will go viral. It will become a meme. Everyone will be talking about Starbucks. Imagine the promotional possibilities. Starkbucks. The winter menu is coming. I don’t know, we obviously can’t write anymore, you’ll think of something good. Anyway. How much are you be willing to pay us to do this?”What do you offer HBO?I have no idea what the right answer is (the point of the question was to see how people think through it, not to calculate an actual number), but it doesn’t seem like it’d be very much? Product placement ads aren’t very targeted, so the average impression for something like this would likely be a good bit less valuable than the average impression of a search or social media ad."
how effective is product placement in TV shows and movies,"I have no idea what the right answer is (the point of the question was to see how people think through it, not to calculate an actual number), but it doesn’t seem like it’d be very much? Product placement ads aren’t very targeted, so the average impression for something like this would likely be a good bit less valuable than the average impression of a search or social media ad.But what if it could be targeted? What if HBO said they’d only show the Starbucks cup to people who recently went to Starbucks? What if they could offer the same deal to Dunkin’ Donuts, and promised to only show a Dunkin’ cup to people who live within ten miles of a store?We may be getting there. From the New York Times :"
How is AI transforming the advertising industry?,"We may be getting there. From the New York Times :On Monday, TikTok announced a new set of tools that will allow brands to create ads using avatars generated by artificial intelligence that look like real people. There will be two types of avatars, TikTok said in a release. Brands can choose from an array of stock avatars “created from video footage of real paid actors that are licensed for commercial use,” or they can opt for a customizable avatar that could be designed to look like a specific creator.Right now, TikTok is only using generative AI to help advertisers create ads before they serve them. But eventually, surely the same technology will get used to create ads when they serve them. If we can animate a fake avatar to read a transcript, we can animate the same avatar to read a customized transcript that speaks directly to whoever is seeing it. Talk about a product they recently searched for. Speak in their native language. Adjust the avatar’s age and appearance to make them appear as trustworthy as possible to the specific person they’re talking to."
how will generative AI change advertising and content personalization?,"Right now, TikTok is only using generative AI to help advertisers create ads before they serve them. But eventually, surely the same technology will get used to create ads when they serve them. If we can animate a fake avatar to read a transcript, we can animate the same avatar to read a customized transcript that speaks directly to whoever is seeing it. Talk about a product they recently searched for. Speak in their native language. Adjust the avatar’s age and appearance to make them appear as trustworthy as possible to the specific person they’re talking to.And if we do this, why would we stop with content that’s explicitly an ad? Watch a James Bond movie on Netflix, and transform his car into whatever make the people on that account might buy. It’s no longer an Aston Martin; it’s a Toyota Sienna. Do the same for his watch; his suit; his sunglasses.Each of us live in our own version of the internet. First, it was because the internet gave us more options: Rather than everyone getting news from a couple broadcast networks and major newspapers, we could choose the sites and blogs that we liked. Then, it was the ads: Our individual browsing histories followed us around, and we all saw ads that were personalized to our presumed preferences. 10 And more recently, it’s become our feeds: Tiktok, Twitter, and Netflix show us posts and videos that their algorithms think we’ll like."
how has the internet personalized our experiences over time?,"Each of us live in our own version of the internet. First, it was because the internet gave us more options: Rather than everyone getting news from a couple broadcast networks and major newspapers, we could choose the sites and blogs that we liked. Then, it was the ads: Our individual browsing histories followed us around, and we all saw ads that were personalized to our presumed preferences. 10 And more recently, it’s become our feeds: Tiktok, Twitter, and Netflix show us posts and videos that their algorithms think we’ll like.Still, though we might each see a different kaleidoscope of content, each individual piece is consistent. Our online mosaics are manufactured, but other people share some of the same tiles.But maybe not for much longer? After all, why show people a real tile, when a modified one might get them to buy an extra cup of coffee?"
how do companies use pricing strategies to influence consumer behavior,"But maybe not for much longer? After all, why show people a real tile, when a modified one might get them to buy an extra cup of coffee?Or you’ll see a toggle that tells you you can get somewhere between 16 and 30 percent off when you sign an annual contract.This is the software equivalent of a gas station marquee having a cash price and a credit card price. It’s unclear how much Google would charge you if you tried to pay in cash."
how do software pricing models work,"This is the software equivalent of a gas station marquee having a cash price and a credit card price. It’s unclear how much Google would charge you if you tried to pay in cash.That said, most multi-year deals are paid for one year at a time. If you sign a two-year contract in July of 2024, you’re committing to pay for the first year of your contract that month and for the second year of your contract in July of 2025.Ok, but how on earth is G2 calculating the average scores on these pages? They tell the individual scores; you can do the math yourself. And their math is…different."
how reliable are G2 scores for evaluating software products,"Ok, but how on earth is G2 calculating the average scores on these pages? They tell the individual scores; you can do the math yourself. And their math is…different.On one hand, companies game their G2 scores by harassing their best customers in writing reviews, so this is a pretty suspect source. On the other hand, if there’s any signal in these scores at all, Microstrategy is still decaying remarkably slowly. It’s a month older than Taylor Swift !Libraries have three parts:"
what are the main components of a library,"Libraries have three parts:Physical books, on shelves.A scheme for organizing the books, like the Dewey Decimal System."
how do databases organize and retrieve data,"A scheme for organizing the books, like the Dewey Decimal System.Librarians, who use the system to find the books on the shelves.A database is roughly the same thing. There is physical data, stored in files on a drive. The database organizes those files in some manner that makes them easy to retrieve. And when you ask the database for data, a computer uses its organizational scheme to look up the files you asked for. Historically, different databases have used different systems for organizing their shelves—e.g., Redshift might arrange its books alphabetically by author, while Snowflake might order them by length. This meant that compute engines—the librarians—couldn’t share the same physical library of books, because those librarians needed the books to be organized according to whatever version of the Dewey Decimal System they knew how to use."
Can you explain what a database is and how it works?,"A database is roughly the same thing. There is physical data, stored in files on a drive. The database organizes those files in some manner that makes them easy to retrieve. And when you ask the database for data, a computer uses its organizational scheme to look up the files you asked for. Historically, different databases have used different systems for organizing their shelves—e.g., Redshift might arrange its books alphabetically by author, while Snowflake might order them by length. This meant that compute engines—the librarians—couldn’t share the same physical library of books, because those librarians needed the books to be organized according to whatever version of the Dewey Decimal System they knew how to use.Iceberg is an open-source Dewey Decimal System. If everyone agrees to organize their books that way, then different database compute engines could all share one set of books. That would make it much easier for people to choose the right librarians for the right jobs, because they wouldn’t have to rearrange their entire library first.By database, I mean “database compute engine,” because I don’t know what a database is anymore ."
What are the current trends and challenges in the database industry?,"By database, I mean “database compute engine,” because I don’t know what a database is anymore .Cynically, none of this will actually matter that much, because Databricks and Snowflake aren’t collaborating on a new standard; they’re each trying to become the center of the new standard. Though that may create some overlap today, with everyone making a big show about how much they love Iceberg, it seems inevitable that their real goals are to add their own features on top of Iceberg, and then try to convince everyone that their version is the version everyone should standardize around.People are still signing this! Ten people a day! Five years later!"
how should companies handle data breaches and communicate with affected customers,"We are, here at Initech , very sorry that your money is gone. We are sorry that the email addresses and credit card numbers you gave us were sold off down by the docks, and that some Russian hackers stole your identity. The security and confidentiality of your data is our number one priority at Initech, and it is a shame that your information has been compromised. Our team of experts will be happy to assist you in any way we can (provided that you are on our Enterprise or Enterprise+ tier).But it is also important to understand that none of this is our fault. Security is core to our business and our platform ; it is built into every layer of our product. Our company runs on trust , customer trust , your trust , and we take that responsibility very seriously. Our software is secure by default . It is industry-leading , enterprise-grade , state-of-the-art , end-to-end , world-class . We have many badges , certifications , accreditations , and acronyms —TLS 1.2, AES-256, SOC 2, ISO 27001, GDPR, CCPR, GxP, ITAR, IL5 DoD SRG, etc—that demonstrate how we treat your data as if it were our data .So look. We did our part. But if you put 50,000 dollars in a shoebox and hand it to a stranger in a black SUV, that is not on us. If you fell for a phishing email and sent your Gmail password to Fancy Bear , 1 you messed up, not us. And if you use simple passwords and don’t enable multi-factor authentication on your account—which, of course, we strongly recommend that you do—there is only so much we can do to protect you. We make the locks, they are good locks, and we can’t be blamed if you don’t use them properly."
how can companies ensure their customers follow security best practices?,"So look. We did our part. But if you put 50,000 dollars in a shoebox and hand it to a stranger in a black SUV, that is not on us. If you fell for a phishing email and sent your Gmail password to Fancy Bear , 1 you messed up, not us. And if you use simple passwords and don’t enable multi-factor authentication on your account—which, of course, we strongly recommend that you do—there is only so much we can do to protect you. We make the locks, they are good locks, and we can’t be blamed if you don’t use them properly.Because we use our locks properly. We have many reports from outside auditors that confirm this. We have a chief security officer; we have an official “ data protection officer .” We maintain a list of 224 SOC-2 “controls” —password policies for our company Slack, code review standards for our engineers, regular security training programs for employees, a Dropcam in our office, and many others—that are carefully tracked and tediously documented. 2Still, because we are committed to transparent communication , we commissioned an independent investigation to figure out how your money was stolen. Third-party cybersecurity experts found no evidence of a breach of Initech, our systems, or our employees. Instead, your money was stolen because of compromised customer credentials; i.e., someone stole your password; i.e., PEBCAK ; i.e., a skill issue ; i.e, you, not us. You gave your debit card and PIN number to a thief; don’t blame the ATM."
how should companies handle customer complaints about security breaches,"Still, because we are committed to transparent communication , we commissioned an independent investigation to figure out how your money was stolen. Third-party cybersecurity experts found no evidence of a breach of Initech, our systems, or our employees. Instead, your money was stolen because of compromised customer credentials; i.e., someone stole your password; i.e., PEBCAK ; i.e., a skill issue ; i.e, you, not us. You gave your debit card and PIN number to a thief; don’t blame the ATM.In conclusion, we did our job. It’s a shame that this bad thing happened, and we are unhappy about it and all of that. But the most important thing for you to understand here is that it’s not our fault.—"
what are the recent security concerns with cloud storage platforms,"—A couple weeks ago, some hackers stole a bunch of data out of Snowflake :Security researchers say they believe financially motivated cybercriminals have stolen a “significant volume of data” from hundreds of customers hosting their vast banks of data with cloud storage giant Snowflake."
"What are the recent security challenges faced by cloud storage companies like Snowflake, and how are they addressing them?","Security researchers say they believe financially motivated cybercriminals have stolen a “significant volume of data” from hundreds of customers hosting their vast banks of data with cloud storage giant Snowflake.Incident response firm Mandiant, which is working with Snowflake to investigate the recent spate of data thefts, said in a blog post Monday that the two firms have notified around 165 customers that their data may have been stolen.Snowflake, as part of their commitment to transparency , hired third-party cybersecurity experts CrowdStrike and Mandiant to investigate the hack; they “have not identified evidence suggesting this activity was caused by a vulnerability, misconfiguration, or breach of Snowflake’s platform” or “by compromised credentials of current or former Snowflake personnel;” they said it was caused “ compromised customer credentials ” that were “exposed through unrelated cyber threat activity;” they strongly recommend that all account administrators use multi-factor authentication to protect their accounts."
what measures should companies take to ensure cybersecurity and protect customer data,"Snowflake, as part of their commitment to transparency , hired third-party cybersecurity experts CrowdStrike and Mandiant to investigate the hack; they “have not identified evidence suggesting this activity was caused by a vulnerability, misconfiguration, or breach of Snowflake’s platform” or “by compromised credentials of current or former Snowflake personnel;” they said it was caused “ compromised customer credentials ” that were “exposed through unrelated cyber threat activity;” they strongly recommend that all account administrators use multi-factor authentication to protect their accounts.In other words, Snowflake says that they did what any reasonable cloud software vendor would be expected to do. And while it is unfortunate that this happened, the important thing to know is that it wasn’t their fault.—"
who is responsible when a data breach occurs,"—But was it? Was Snowflake to blame? Their customers? Nobody but the hackers themselves? What exactly are we supposed to make of this whole thing? 3On one hand, by all accounts, it doesn’t seem like Snowflake did anything capital-W Wrong. They followed the protocols that they were supposed to follow; they built software according to the standards they were supposed to meet; no Snowflake employee stole anything, left a door open, or told somebody something they shouldn’t have. 4 They were an ATM, and someone stole their customers’ PINs. It is hard to blame the ATM for that."
what are the security challenges associated with cloud-based data warehouses like Snowflake,"On one hand, by all accounts, it doesn’t seem like Snowflake did anything capital-W Wrong. They followed the protocols that they were supposed to follow; they built software according to the standards they were supposed to meet; no Snowflake employee stole anything, left a door open, or told somebody something they shouldn’t have. 4 They were an ATM, and someone stole their customers’ PINs. It is hard to blame the ATM for that.On the other hand, Snowflake did, in a sense, make the ATM popular. Twenty years ago, most databases lived behind firewalls and were only available via VPNs or from approved IP addresses. Corporate data was, almost literally, in a locked vault that you had to physically break into to steal. Today, in part because of Snowflake’s success and its own efforts marketing the benefits of the cloud , people can log into their databases like they would any other website, through a publicly-accessible web page , 5 with a username and password. Snowflake also helped popularize using basic authentication methods like usernames and passwords as the modern standard by which data products connect to databases .In essence, Snowflake and other cloud warehouse vendors moved data out of the firewalled vaults, and into ATMs all over the internet. That’s a design pattern that is fundamentally more vulnerable to certain types of hacks than the prior version. 6 Accordingly, most criticisms of Snowflake aren’t just about Snowflake, but about problems inherent in SaaS software: That simple single-factor authentication is simple to hack. When money is in a bank, you have to rob the bank to get it out. When money is an ATM, you just need to steal some debit cards and phish for people’s PINs. 7"
why are data breaches so common in cloud-based systems,"In essence, Snowflake and other cloud warehouse vendors moved data out of the firewalled vaults, and into ATMs all over the internet. That’s a design pattern that is fundamentally more vulnerable to certain types of hacks than the prior version. 6 Accordingly, most criticisms of Snowflake aren’t just about Snowflake, but about problems inherent in SaaS software: That simple single-factor authentication is simple to hack. When money is in a bank, you have to rob the bank to get it out. When money is an ATM, you just need to steal some debit cards and phish for people’s PINs. 7But! It’s also a design pattern that we like! ATMs are convenient. Multi-factor authentication is annoying . The convenience of the cloud and putting everything on the internet is the world we asked for—and so, it’s a world that Snowflake can give us, without violating any generally accepted accessibility protocols. In 2000, had a company built a database that you could log into from a website and with the password “ password ,” we would probably blame that company if its customers’ accounts got hacked. Now, eh—we may not exonerate the company completely, but we put a lot of the blame on the customers themselves.That’s the thing about data breaches, and about the entire software security industrial complex: It’s not about security; it’s about blame ."
why do companies focus on compliance rather than actual security,"That’s the thing about data breaches, and about the entire software security industrial complex: It’s not about security; it’s about blame .Most companies don’t get have lengthy security pages and pay for tedious compliance reports because they believe that jumping through a bunch of bureaucratic hoops, like logging when every employee was added or removed from Asana, will make anything meaningfully more secure; they jump through those hoops and get those reports so that, if something does go wrong, they can say that it’s not their fault. 8 The probability that companies want to minimize is not the probability of a hack; they want to minimize the probability that they get blamed for a hack . 9 Compliance standards aren’t about security; compliance standards are about liability. 10 And in the two-decade long transition to the cloud, we’ve come to shift the liability for things like bad password policies onto the users and not the vendors.That’s the bet Snowflake made in making things like multi-factor authentication optional—that they ultimately wouldn’t be blamed for a hack like this. As the story escalated, 11 they’ve added the reverse Streisand : Turn a mountain into a molehill by largely doing as little press as possible , 12 and hope the whole thing blows over. Which probably isn’t a bad strategy, at least for the time being. If the important thing is for people not to think that it’s your fault—and in cloud software security, that is and always has been the important thing—you can’t get blamed for something that nobody’s talking about."
why do companies often avoid taking responsibility for security breaches,"That’s the bet Snowflake made in making things like multi-factor authentication optional—that they ultimately wouldn’t be blamed for a hack like this. As the story escalated, 11 they’ve added the reverse Streisand : Turn a mountain into a molehill by largely doing as little press as possible , 12 and hope the whole thing blows over. Which probably isn’t a bad strategy, at least for the time being. If the important thing is for people not to think that it’s your fault—and in cloud software security, that is and always has been the important thing—you can’t get blamed for something that nobody’s talking about.There’s also a broader point here. The entire corporate cybersecurity apparatus is designed to preemptively make the case that whatever went wrong isn’t our fault. But we don’t just do that with security policies. We pre-build this argument—that the important thing for you to know is that it’s not my fault—all the time, and are as frequently motivated by it as we are whatever problem we’re ostensibly trying to solve.For example, when a controversial decision is being made, people will often softly object. They won’t want to change the decision, because then, if something bad happens, it will be their fault. Instead, they will just want to object “for the record”—a record that will likely get forgotten if things go well, but they’ll definitely remember if things go poorly."
why do people avoid taking full responsibility for decisions,"For example, when a controversial decision is being made, people will often softly object. They won’t want to change the decision, because then, if something bad happens, it will be their fault. Instead, they will just want to object “for the record”—a record that will likely get forgotten if things go well, but they’ll definitely remember if things go poorly.For example, when an investor invests in a startup, they will sometimes push CEOs to make certain decisions. They will nudge, cajole, and coerce—but almost never outright instruct. Because they aren’t here to make decisions; they’re here to advise and support. If that advice works out, great, they’re adding value. And if it doesn’t, well, that’s not their fault. The CEO makes the decisions.For example, when an executive asks a data team for some sort of analysis, they’re asking for counsel, but they’re also often asking for a contingency. If the decision goes well , “you can claim credit for your cleverness. If it doesn’t, you can say you just did what any reasonable person would’ve done,” and listened to the data. I played the numbers, and it’s not my fault that we got unlucky."
why do executives rely on data teams for decision-making,"For example, when an executive asks a data team for some sort of analysis, they’re asking for counsel, but they’re also often asking for a contingency. If the decision goes well , “you can claim credit for your cleverness. If it doesn’t, you can say you just did what any reasonable person would’ve done,” and listened to the data. I played the numbers, and it’s not my fault that we got unlucky.Everyone will say that the important thing is winning as a team . And in good times, sure, it is. But people are always looking for ways to buy themselves an insurance policy, because in bad times , the important thing for you to understand is that it isn’t my fault .When stories like the one about Snowflake come out, the first reaction is usually to point fingers. The second is bewilderment: How could they let this happen? How could they have been so unusually careless?"
how do tech companies handle data security,"When stories like the one about Snowflake come out, the first reaction is usually to point fingers. The second is bewilderment: How could they let this happen? How could they have been so unusually careless?Which, oh man, if only. Every tech company presents themselves like Initech, as very serious experts who build bleeding-edge security programs with militaristic discipline. And maybe a few do. But most tech companies are FTX : Full of loose access controls, everything passed around Slack, held together by Scotch tape and bubble gum .Back sometime before the pandemic, the team at Mode used a popular product—let's call it PodesData —that connected directly to Snowflake, which we were using as our primary data warehouse. PodesData had to interact with our data, and was was authorized to do it in the same way as just about every other tool that connects to Snowflake: We created a new Snowflake user called something like THIRD_PARTY_PODESDATA, granted that user access to the data is that PodesData needed to see, and provided that users’s password to PodesData, via some web form inside of their application."
Have you ever had a security scare with a third-party tool?,"Back sometime before the pandemic, the team at Mode used a popular product—let's call it PodesData —that connected directly to Snowflake, which we were using as our primary data warehouse. PodesData had to interact with our data, and was was authorized to do it in the same way as just about every other tool that connects to Snowflake: We created a new Snowflake user called something like THIRD_PARTY_PODESDATA, granted that user access to the data is that PodesData needed to see, and provided that users’s password to PodesData, via some web form inside of their application.A few months later, we had some mundane technical issue that we needed help fixing. We emailed their support team, and an agent started investigating different things that might’ve gone wrong. At some point during the conversation, the agent emailed us a screenshot of what they were seeing “on their side.” The screenshot was of a query the agent had written, directly against our Snowflake database, from inside the Snowflake console .We lost our minds. Because the existence of this screenshot meant three things:"
